ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
FB,2015-01-02,78.58,78.93,77.7,78.45,18177475.0,0.0,1.0,78.58,78.93,77.7,78.45,18177475.0
FB,2015-01-05,77.98,79.2455,76.86,77.19,26452191.0,0.0,1.0,77.98,79.2455,76.86,77.19,26452191.0
FB,2015-01-06,77.23,77.59,75.365,76.15,27399288.0,0.0,1.0,77.23,77.59,75.365,76.15,27399288.0
FB,2015-01-07,76.76,77.36,75.82,76.15,22045333.0,0.0,1.0,76.76,77.36,75.82,76.15,22045333.0
FB,2015-01-08,76.74,78.23,76.08,78.175,23960953.0,0.0,1.0,76.74,78.23,76.08,78.175,23960953.0
FB,2015-01-09,78.2,78.62,77.2,77.74,21004109.0,0.0,1.0,78.2,78.62,77.2,77.74,21004109.0
FB,2015-01-12,77.84,78.0,76.21,76.72,19190194.0,0.0,1.0,77.84,78.0,76.21,76.72,19190194.0
FB,2015-01-13,77.23,78.08,75.85,76.45,25179561.0,0.0,1.0,77.23,78.08,75.85,76.45,25179561.0
FB,2015-01-14,76.42,77.2,76.0291,76.28,25918564.0,0.0,1.0,76.42,77.2,76.0291,76.28,25918564.0
FB,2015-01-15,76.4,76.57,73.54,74.05,34133974.0,0.0,1.0,76.4,76.57,73.54,74.05,34133974.0
FB,2015-01-16,74.04,75.32,73.84,75.18,21791529.0,0.0,1.0,74.04,75.32,73.84,75.18,21791529.0
FB,2015-01-20,75.72,76.31,74.82,76.24,22821614.0,0.0,1.0,75.72,76.31,74.82,76.24,22821614.0
FB,2015-01-21,76.16,77.3,75.85,76.74,25096737.0,0.0,1.0,76.16,77.3,75.85,76.74,25096737.0
FB,2015-01-22,77.17,77.75,76.68,77.65,19519458.0,0.0,1.0,77.17,77.75,76.68,77.65,19519458.0
FB,2015-01-23,77.65,78.19,77.04,77.83,16746503.0,0.0,1.0,77.65,78.19,77.04,77.83,16746503.0
FB,2015-01-26,77.98,78.47,77.29,77.495,19260820.0,0.0,1.0,77.98,78.47,77.29,77.495,19260820.0
FB,2015-01-27,76.71,76.88,75.63,75.78,20109977.0,0.0,1.0,76.71,76.88,75.63,75.78,20109977.0
FB,2015-01-28,76.9,77.638,76.0,76.24,53306422.0,0.0,1.0,76.9,77.638,76.0,76.24,53306422.0
FB,2015-01-29,76.85,78.02,74.21,78.0,61293468.0,0.0,1.0,76.85,78.02,74.21,78.0,61293468.0
FB,2015-01-30,78.0,78.16,75.75,75.91,42649491.0,0.0,1.0,78.0,78.16,75.75,75.91,42649491.0
